class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33
1,0.0116065,-0.6305575,-0.307963,0.9999934,0.021511,-0.6682103,-0.2900356,0.9999697,0.0220032,-0.668734,-0.289476,0.999969,0.0218564,-0.6692203,-0.2893751,0.9999664,-0.0117752,-0.6672119,-0.291545,0.9999698,-0.0114662,-0.6680033,-0.292446,0.9999712,-0.0114501,-0.6693732,-0.291217,0.9999676,0.0682559,-0.6535603,-0.1744858,0.9999144,-0.081884,-0.657757,-0.1924645,0.9999299,0.0309401,-0.6049563,-0.2669188,0.9999803,-0.0131536,-0.6052767,-0.2704408,0.9999809,0.1536927,-0.4660474,-0.0955224,0.9999721,-0.1731953,-0.4727616,-0.1177804,0.9999433,0.209864,-0.2482954,-0.0462722,0.9941791,-0.2518335,-0.2348,-0.0664618,0.9900594,0.2504199,-0.0263319,-0.1342157,0.9912334,-0.2675279,-0.0204387,-0.1464083,0.9832395,0.2558767,0.0539065,-0.1559017,0.9760891,-0.267711,0.0568473,-0.1710261,0.9616001,0.2339438,0.0572737,-0.1915553,0.978441,-0.2472698,0.0475753,-0.199523,0.9639257,0.2390513,-0.0086861,-0.1468734,0.9747413,-0.2511447,-0.0069942,-0.160006,0.9583018,0.1125063,0.0062762,0.0033607,0.9996957,-0.1126097,-0.0068354,-0.0019822,0.9996774,0.1000996,0.4122984,0.0197133,0.9929075,-0.107176,0.3856098,0.0378537,0.9933461,0.1413994,0.7549798,0.1645826,0.9904556,-0.0779212,0.7297328,0.1850313,0.991788,0.1502854,0.7992428,0.1701538,0.9126747,-0.0774052,0.7750965,0.190992,0.9001185,0.1958184,0.8568872,0.0558958,0.986158,-0.1141396,0.8335119,0.0775085,0.9872606
1,0.0132326,-0.6330196,-0.3098534,0.9999939,0.0224955,-0.6705167,-0.2910306,0.999972,0.0229614,-0.6710131,-0.2904463,0.9999713,0.0228201,-0.6715156,-0.2903449,0.9999689,-0.0108806,-0.6686597,-0.292648,0.9999719,-0.0105631,-0.6695051,-0.2934977,0.9999731,-0.0105775,-0.6708759,-0.2923058,0.9999698,0.0695249,-0.6538701,-0.1746947,0.9999209,-0.0811028,-0.6569114,-0.1930214,0.9999347,0.0329874,-0.6064319,-0.268888,0.9999818,-0.0111561,-0.6058649,-0.2725954,0.9999824,0.1573534,-0.4648399,-0.0954487,0.9999735,-0.170488,-0.4689732,-0.1176385,0.999945,0.2088556,-0.2420833,-0.0451898,0.9941523,-0.2475805,-0.2257376,-0.0610976,0.9900714,0.2504171,-0.0236997,-0.1331543,0.9912544,-0.2742915,-0.010922,-0.142459,0.983485,0.2565958,0.0602531,-0.154126,0.9761323,-0.2757436,0.0676474,-0.1653298,0.962252,0.2370143,0.0639322,-0.1905328,0.9784733,-0.2607206,0.0607929,-0.197465,0.9646266,0.2391888,-0.0059327,-0.146087,0.9746385,-0.2604915,0.0034682,-0.1572049,0.9590433,0.1127706,0.0060058,0.0044308,0.9997134,-0.1128878,-0.0065867,-0.0030411,0.9996924,0.1037353,0.415332,0.0031544,0.9928913,-0.0989823,0.3864477,0.0082424,0.9930815,0.1218213,0.7575731,0.1393918,0.9905954,-0.0742957,0.7304166,0.1625665,0.9914919,0.1269381,0.8013368,0.1436628,0.9117724,-0.0729179,0.7757772,0.1681095,0.8936102,0.1694071,0.862861,0.0289237,0.9863896,-0.0959867,0.8353084,0.0497479,0.9870884
1,0.0142245,-0.6340316,-0.3128842,0.9999942,0.0230531,-0.6714417,-0.2933988,0.9999738,0.023499,-0.6719241,-0.2927768,0.9999732,0.0233628,-0.6724243,-0.2926907,0.9999709,-0.0103332,-0.6691858,-0.2949426,0.9999735,-0.0100148,-0.6700498,-0.2957566,0.9999747,-0.0100461,-0.6714185,-0.2945992,0.9999716,0.0704958,-0.6539573,-0.1765181,0.9999264,-0.0802865,-0.6559992,-0.1946887,0.9999384,0.0344144,-0.6070503,-0.2721766,0.9999831,-0.0096923,-0.6060359,-0.2758101,0.9999835,0.160248,-0.4637467,-0.0966782,0.9999746,-0.1680125,-0.4660866,-0.1176383,0.9999452,0.2086127,-0.2372453,-0.0459506,0.99413,-0.2454327,-0.2202629,-0.0587595,0.9898247,0.2502671,-0.020448,-0.1337212,0.9912744,-0.2833057,-0.0063292,-0.1408174,0.9834849,0.2566645,0.0652593,-0.1543229,0.976212,-0.2866796,0.0719122,-0.1625538,0.9624904,0.2377132,0.0690579,-0.1910052,0.9785236,-0.2746051,0.0655542,-0.1962679,0.9649417,0.2391725,-0.0026773,-0.1467725,0.9745821,-0.2711789,0.0081835,-0.1560728,0.9593839,0.1129484,0.0059125,0.0045569,0.9997256,-0.1130776,-0.0065028,-0.0031695,0.9997,0.1038027,0.4158617,-0.0037621,0.992788,-0.0938618,0.3864438,0.0041662,0.9927369,0.1117307,0.7588304,0.1316425,0.9906461,-0.0713528,0.7307532,0.1550535,0.9912342,0.1160664,0.8024888,0.1354722,0.9098518,-0.0697104,0.7761563,0.1598412,0.8880166,0.1573992,0.8654453,0.0196605,0.9864633,-0.0896514,0.8359397,0.0384595,0.9869025
1,0.0151709,-0.63471,-0.3170136,0.9999946,0.0236627,-0.6720574,-0.2968931,0.9999758,0.0240971,-0.6725338,-0.2962435,0.9999753,0.0239673,-0.6730326,-0.2961659,0.9999731,-0.0097449,-0.6695499,-0.2985788,0.9999754,-0.0094233,-0.6704263,-0.2993618,0.9999764,-0.0094659,-0.6717968,-0.2982235,0.9999735,0.0711512,-0.653981,-0.179184,0.9999321,-0.079887,-0.6551906,-0.1979236,0.9999425,0.035507,-0.6074252,-0.2763684,0.9999844,-0.0086488,-0.606127,-0.2801536,0.9999847,0.1615124,-0.4626867,-0.0997827,0.9999759,-0.1674396,-0.4639042,-0.118006,0.999946,0.2084104,-0.2346889,-0.0513942,0.9941877,-0.2455256,-0.2181554,-0.0584536,0.9896985,0.2501081,-0.0184414,-0.1431282,0.9913796,-0.2932693,-0.0058951,-0.1408072,0.9835908,0.2567141,0.0682243,-0.1640358,0.976482,-0.2975613,0.0720989,-0.1623955,0.9628633,0.2380566,0.0719717,-0.2015958,0.9787522,-0.2869078,0.0656102,-0.1962864,0.9653842,0.2391214,-0.0006809,-0.1565187,0.9747329,-0.28201,0.0085356,-0.1561028,0.9598755,0.1131178,0.0057544,0.0045774,0.999738,-0.1132515,-0.0063542,-0.0031915,0.9997094,0.1048188,0.4164498,-0.006164,0.9927925,-0.0923118,0.3864545,0.0022397,0.9925472,0.1123659,0.7603376,0.1254128,0.9908402,-0.068076,0.7311647,0.1521869,0.9911182,0.1171241,0.8040262,0.128608,0.909261,-0.0660754,0.7766119,0.1567618,0.8845798,0.1587811,0.8671213,0.0111109,0.9867198,-0.0867798,0.8365473,0.0349076,0.986872
1,0.0153316,-0.6355193,-0.3170661,0.9999948,0.0236875,-0.6729671,-0.2970272,0.9999772,0.0241201,-0.6734329,-0.2963786,0.9999768,0.0239904,-0.6739254,-0.2963072,0.9999747,-0.0097203,-0.6701028,-0.2986912,0.9999765,-0.0093986,-0.6709853,-0.2994748,0.9999775,-0.0094436,-0.6723559,-0.2983415,0.9999747,0.0711888,-0.6548026,-0.1792923,0.9999368,-0.0798731,-0.6550453,-0.1979,0.999945,0.0358282,-0.6082534,-0.2763873,0.9999854,-0.0083307,-0.6064358,-0.2801008,0.9999855,0.1621753,-0.4633755,-0.099947,0.9999771,-0.1669359,-0.4636655,-0.116613,0.9999443,0.2084014,-0.2348143,-0.0521731,0.9942606,-0.2441221,-0.2174983,-0.0534896,0.989219,0.2498493,-0.0190257,-0.1453986,0.9914956,-0.2970192,-0.0061513,-0.1373419,0.9834456,0.2567117,0.0678183,-0.1664032,0.9767411,-0.3024871,0.071625,-0.158011,0.9628613,0.2380767,0.0715022,-0.20436,0.9789747,-0.2933098,0.0649571,-0.1931769,0.9654828,0.2389408,-0.0012132,-0.1589618,0.9748906,-0.2864989,0.0081955,-0.1531582,0.9599603,0.1132532,0.0056168,0.0045074,0.9997458,-0.1133903,-0.0062262,-0.0031225,0.9997116,0.1059638,0.4164936,-0.0115677,0.9927431,-0.0923839,0.3859784,0.001403,0.9922821,0.1131638,0.7596816,0.1264888,0.990889,-0.0669506,0.7311243,0.1520676,0.9909781,0.1180671,0.8031273,0.1302526,0.9077307,-0.0646812,0.776566,0.1567623,0.8816359,0.158126,0.8669723,0.0131377,0.9867951,-0.0846975,0.8365404,0.035014,0.9867709
1,0.0137288,-0.6379833,-0.3167987,0.9999951,0.021397,-0.6754802,-0.2966195,0.9999787,0.0218212,-0.6759399,-0.2959733,0.9999784,0.0216916,-0.6764225,-0.2959183,0.9999765,-0.0119478,-0.6721502,-0.2983924,0.9999777,-0.0116325,-0.6730334,-0.2991727,0.9999785,-0.0116847,-0.6744093,-0.2980459,0.9999759,0.0678174,-0.6564668,-0.1786214,0.9999417,-0.0832242,-0.6550973,-0.1975649,0.9999475,0.0342046,-0.610419,-0.2760983,0.9999865,-0.0098921,-0.6078289,-0.279893,0.9999864,0.1597968,-0.4649144,-0.0999128,0.9999787,-0.1692721,-0.4635791,-0.1134413,0.9999427,0.2055102,-0.236643,-0.0520966,0.9944955,-0.2441742,-0.2178864,-0.0449545,0.9887407,0.2498169,-0.020689,-0.1466987,0.991891,-0.3020285,-0.0062655,-0.1280984,0.9834012,0.2572252,0.0670224,-0.167966,0.9777134,-0.3082382,0.0712277,-0.1475118,0.9630553,0.2389037,0.0712199,-0.2069502,0.9798539,-0.3009228,0.0648036,-0.1844859,0.9657614,0.2389615,-0.0026158,-0.1606296,0.9758437,-0.2922801,0.0080337,-0.1446603,0.960287,0.113434,0.0051138,0.0043142,0.9997551,-0.1135767,-0.005733,-0.0029272,0.9997146,0.1061879,0.4164645,-0.0143244,0.9928401,-0.091887,0.3865318,-0.0008911,0.9920591,0.1142262,0.7576568,0.128903,0.9909534,-0.0635892,0.7310302,0.1538305,0.9906572,0.1195653,0.8008738,0.1329302,0.9047863,-0.0606836,0.7763808,0.1587285,0.8770608,0.1594459,0.8665875,0.0161116,0.986863,-0.0792894,0.8365173,0.037994,0.9864803
1,0.0105254,-0.6390275,-0.3165701,0.9999954,0.0178142,-0.6765876,-0.2963575,0.9999799,0.0182338,-0.6770574,-0.295716,0.9999797,0.0181093,-0.6775348,-0.2956694,0.9999778,-0.0153975,-0.6731655,-0.2983055,0.9999786,-0.0150874,-0.6740586,-0.2990799,0.9999794,-0.0151475,-0.6754409,-0.2979553,0.9999768,0.0620615,-0.6573919,-0.1782351,0.9999456,-0.0886775,-0.6552524,-0.1976411,0.9999495,0.0301913,-0.611415,-0.275791,0.9999874,-0.0137817,-0.6085852,-0.2798046,0.9999871,0.1543482,-0.4663249,-0.0998921,0.9999801,-0.1757396,-0.4636576,-0.1133033,0.9999431,0.2015523,-0.2387252,-0.0522207,0.9946795,-0.2455971,-0.2182377,-0.0448738,0.9884613,0.2499782,-0.0213634,-0.1485603,0.9922048,-0.3036325,-0.0053808,-0.1268612,0.9834235,0.2590315,0.0667888,-0.1695829,0.9785029,-0.3097345,0.0732516,-0.1458419,0.963327,0.2412499,0.0708692,-0.2093909,0.9805703,-0.3016645,0.0677402,-0.1833814,0.9660961,0.2394342,-0.0029384,-0.1628639,0.9766169,-0.2935304,0.0094629,-0.1435427,0.9606736,0.1135275,0.0043622,0.0043103,0.9997632,-0.1136716,-0.0049905,-0.002923,0.9997182,0.1064987,0.4163277,-0.0129219,0.9928612,-0.0864472,0.3882238,0.0008033,0.9916901,0.1160198,0.7576668,0.1290565,0.9909291,-0.0577811,0.7322122,0.1548802,0.9902293,0.1214136,0.8009207,0.1329683,0.9019261,-0.0550225,0.7774964,0.1597973,0.8719267,0.1603299,0.8665366,0.0157401,0.9868474,-0.0753421,0.8373368,0.0394815,0.9860902
1,-0.0052767,-0.6492825,-0.2981094,0.9999954,0.0003948,-0.687327,-0.2762675,0.9999803,0.0008125,-0.687784,-0.2756534,0.99998,0.0007115,-0.6882544,-0.2757009,0.9999782,-0.0326186,-0.682928,-0.2803363,0.9999791,-0.0322755,-0.6838577,-0.281083,0.9999797,-0.0323688,-0.6852169,-0.280039,0.9999772,0.0389575,-0.6686208,-0.156785,0.9999466,-0.1113664,-0.6609346,-0.1859072,0.9999507,0.0122822,-0.6217211,-0.257167,0.9999878,-0.0316379,-0.6174736,-0.2641173,0.9999876,0.135075,-0.4757895,-0.0827145,0.9999801,-0.1950045,-0.4638753,-0.1110832,0.9999434,0.1886611,-0.251576,-0.041086,0.9941034,-0.2539788,-0.2174311,-0.0491036,0.9880905,0.2494466,-0.0346372,-0.1429628,0.9913539,-0.3023905,-0.0008459,-0.1312355,0.9824821,0.2600115,0.0517089,-0.1640783,0.9767529,-0.3057605,0.0792588,-0.1501769,0.9616914,0.242933,0.0582445,-0.2040893,0.9790237,-0.2959468,0.0737605,-0.1874161,0.9646387,0.2393656,-0.0150547,-0.1577691,0.9747989,-0.2913552,0.0143761,-0.1477768,0.9590822,0.1135227,0.0030211,0.0054387,0.9997684,-0.1136653,-0.0036169,-0.0040813,0.9997195,0.1096238,0.4154204,-0.0123678,0.9927542,-0.0818501,0.388937,0.0010935,0.9911839,0.129509,0.7576042,0.132179,0.9908719,-0.0484975,0.7324404,0.1590329,0.9899814,0.1368934,0.8008786,0.1361759,0.9021493,-0.0461388,0.7776905,0.1638554,0.868773,0.1891383,0.8645809,0.0206503,0.9868322,-0.0678119,0.8373978,0.0433932,0.9858693
1,-0.0043626,-0.6468071,-0.299066,0.9999956,0.0002638,-0.6857448,-0.277681,0.9999813,0.0006508,-0.6861835,-0.2770733,0.9999808,0.000543,-0.6866979,-0.2770998,0.9999791,-0.032734,-0.6804873,-0.2805588,0.9999801,-0.0323788,-0.6814778,-0.2813631,0.9999807,-0.0325006,-0.6828219,-0.2802714,0.9999783,0.0338829,-0.6680956,-0.1575637,0.9999476,-0.1157211,-0.6592295,-0.1910133,0.9999539,0.0123395,-0.6209199,-0.258039,0.9999883,-0.031505,-0.6156481,-0.2643675,0.9999883,0.129697,-0.4778977,-0.0716978,0.99998,-0.1976039,-0.4620597,-0.1266826,0.9999468,0.1734473,-0.252409,-0.0180149,0.9927248,-0.2601595,-0.2107579,-0.0792322,0.9887613,0.2412878,-0.0361181,-0.1217645,0.9904347,-0.2944759,0.016904,-0.1518116,0.9829065,0.2569025,0.0491366,-0.1444004,0.9748738,-0.2925447,0.0983934,-0.1731636,0.9623532,0.241173,0.0564451,-0.184562,0.9774101,-0.2773927,0.0930853,-0.2069193,0.9652317,0.2330796,-0.0164845,-0.1377711,0.9729723,-0.2806555,0.0323188,-0.1668184,0.9596863,0.1129053,0.0023632,0.0180223,0.9997768,-0.1130404,-0.0029416,-0.0166872,0.999731,0.1102105,0.4142876,0.0057989,0.9917273,-0.0799529,0.3896187,-0.0072265,0.9907858,0.1205876,0.7584512,0.1449672,0.9904822,-0.0496744,0.73349,0.1486824,0.9899213,0.1283153,0.8018131,0.1492724,0.9070106,-0.0472113,0.7787666,0.1537353,0.8659769,0.1964047,0.8626227,0.0484368,0.9867567,-0.065358,0.8431767,0.0333801,0.9858035
1,-0.0038636,-0.6399909,-0.3093477,0.9999957,0.0014642,-0.6790003,-0.287084,0.9999822,0.0018686,-0.6794083,-0.2863922,0.9999815,0.0017584,-0.6799654,-0.2864356,0.9999799,-0.031629,-0.6737814,-0.2921569,0.9999812,-0.0312852,-0.6748251,-0.2929144,0.9999816,-0.0313795,-0.6761245,-0.291945,0.9999795,0.0369281,-0.6628216,-0.1632198,0.9999478,-0.112568,-0.6520413,-0.2045281,0.999957,0.0133631,-0.6143876,-0.2667665,0.9999886,-0.0307477,-0.6091388,-0.2761856,0.9999889,0.1301909,-0.4717193,-0.0739841,0.999977,-0.1966247,-0.4530132,-0.1435926,0.9999489,0.1635783,-0.2396987,-0.021692,0.9905227,-0.2595228,-0.1966124,-0.1011361,0.989298,0.2226017,-0.0283141,-0.1234225,0.9887461,-0.2646385,0.0271714,-0.1694446,0.9830472,0.2387173,0.0552524,-0.145519,0.9715205,-0.2550108,0.1065243,-0.1917003,0.9624333,0.2245905,0.0619292,-0.1856264,0.9743739,-0.2361743,0.0984292,-0.2216084,0.9652606,0.2153204,-0.0094573,-0.1390386,0.9695387,-0.2475051,0.0407314,-0.1826761,0.9596533,0.1120211,0.0022172,0.0237476,0.9997735,-0.1121786,-0.0027961,-0.0224122,0.9997352,0.1015937,0.414425,0.0155997,0.9899781,-0.0761523,0.3901052,-0.0178846,0.9901776,0.0912421,0.7609107,0.1458344,0.9897113,-0.0506665,0.737599,0.1258436,0.9896149,0.0978868,0.8041639,0.1497441,0.9099861,-0.0484531,0.7831764,0.1300771,0.8590028,0.1805968,0.8620685,0.0495967,0.9862356,-0.0630065,0.8514,0.0060827,0.9853517
